body,title,url
"En los últimos meses, millones de personas de diferentes países de América Latina han salido a las calles a manifestar su inconformidad con sus gobiernos y en contra decisiones que vulneran su bienestar. En Ecuador lo hicieron por la intervención del Fondo Monetario Internacional en la crisis económica. En Perú, por un Congreso cooptado por el fujimorismo y la corrupción. En Bolivia, por los conejos de Evo Morales a la democracia y, ahora, por el ascenso al poder del conservadurismo religioso y la militarización de la protesta.",Estas son las vías que estarán afectadas por el paro de este lunes,https://www.semana.com//mundo/articulo/cinco-razones-por-las-que-la-protesta-del-21-de-noviembre-en-colombia-seradiferente-a-las-de-america-latina/640964
"Los audios que reveló Publimetro de una conversación entre Pacho Santos y Claudia Blum, en la que ambos no dejan títere con cabeza, han causado revuelo nacional. Unos hablan de que Santos debería renunciar y otros defienden que era una conversación privada. Lo que ya es un hecho es que el presidente Iván Duque llamó al embajador en Washington y le pidió que viajara a Bogotá para hablar personalmente del tema.","""Esa ayuda humanitaria fue un fiasco total"": Claudia Blum a Francisco Santos",https://www.semana.com//nacion/articulo/duque-le-pidio-a-pacho-santos-que-viaje-para-hablar-en-bogota/641043
"En la grabación entre el embajador de Colombia en Washington, Francisco Santos, y la entrante canciller, Claudia Blum, el embajador dijo que la situación de Juan Guaidó, presidente de la Asamblea Nacional y líder de la oposición, no está avanzando, ""pero eso se va a mover"".",¿Francisco Santos debe renunciar tras los escandalosos audios revelados?,https://www.semana.com//nacion/articulo/audios-francisco-santos-y-claudia-blum-si-maduro-no-se-va-no-tenemos-futuro/641071
"La Fiscalía General dio detalles sobre los allanamientos realizados por la Policía Nacional durante el día martes, que fueron ampliamente criticados por un aparente abuso de autoridad de los uniformados al ingresar a organizaciones artísticas y medios culturales. El fiscal encargado, Fabio Espitia, informó que 27 de los procedimientos realizados en varias ciudades del país se hicieron con base en informes de inteligencia que apuntaban a la existencia de planes para crear material explosivo que sería utilizado por los manifestantes. ",En video: Estudiantes de la U. de Antioquia se enfrentan a encapuchados un día antes del paro,https://www.semana.com//nacion/articulo/paro-nacional-fiscalia-declaro-ilegales-algunos-allanamientos-hechos-por-la-policia/641118
"La mañana de este miércoles será recordada como una de las más convulsionadas en la historia reciente de la Embajada de Colombia en Estados Unidos. Apenas despuntó el día, la delegación diplomática se sorprendió con una explosiva grabación, divulgada por el diario gratuito Publimetro, en la que el embajador Francisco Santos habla sin tapujos sobre Estados Unidos, Donald Trump, Venezuela, Nicolás Maduro y sus compañeros de Gobierno Carlos Holmes Trujillo y el saliente ministro de Defensa, Guillermo Botero.",‘Tengo la hipótesis de que si sacan a Francisco Santos meten a Simón Gaviria‘,https://www.semana.com//nacion/articulo/audio-de-francisco-santos-y-claudia-blum-desata-tres-crisis/641104
"El diario estadounidense The New York Times hizo un recuento de la tormenta que desató la publicación de una conversación de 24 minutos entre el embajador Francisco Santos y la canciller colombiana designada, Claudia Blum. El medio también analizó las implicaciones que puede traer lo dicho en esa conversación privada que sucedió la semana pasada en una cafetería de Washington, D.C., y que fue grabada por una tercera persona y publicada por el diario Publimetro de Colombia.",¿En el fondo Pacho Santos dio más razones para el paro de este jueves?,https://www.semana.com//mundo/articulo/pacho-santos-con-el-agua-hasta-el-cuello-hasta-la-casa-blanca-lo-critica/641197
"José Mourinho regresará a los banquillos tras casi un año de ausencia para dirigir a Tottenham en lugar del argentino Mauricio Pochettino, según anunció el club inglés el miércoles.",“Responde como si fuéramos idiotas”: Andrea Guerrero sobre altanería de Juan Carlos Osorio,https://www.semana.com//deportes/articulo/jamas-entrenaria-al-tottenham-la-frase-que-le-recriminan-a-mourinho/641015
"El sueño de la Copa Davis duró poco para Colombia después de caer en sus cuatro confrontaciones individuales en la final del torneo. Este martes, Daniel Galán cayó con Álex de Miñaur (6-4/6-3) y Alejandro González también perdió su encuentro con Nick Kyrgios (6-4/6-4).",Cabal y Farah perdieron la semifinal del Torneo de Maestros,https://www.semana.com//deportes/articulo/el-equipo-de-colombia-fue-el-primer-eliminado-en-la-final-de-la-copa-davis/640900
"Aunque el whisky no es la bebida alcohólica que más se toma en el país, su consumo sí ha experimentado un aumento superior a 50% en los últimos 4 años. Quizá esto se explica porque el whisky es muy valorado dado que está hecho de cebada malteada y su proceso de elaboración es todo un ritual en el que influye tanto el tipo de roble del barril, como el tiempo de envejecimiento. ",¿Por qué a Elon Musk no le gusta tomar vacaciones?,https://www.dinero.com/actualidad/articulo/que-tiene-de-especial-el-whisky-que-toma-juanpis-gonzalez/278842
Se acaba la espera para los fanáticos de Roger Federer en Colombia. Hoy jueves llegará para disputar un partido de exhibición mañana viernes a las 8:00 p.m. en el Movistar Arena frente al alemán Alex Zverev. Esta es la segunda ocasión en la que los colombianos podrán disfrutar del juego del mejor tenista de la historia.,Federer felicitó a Cabal y Farah por terminar 2019 como los mejores del mundo,https://www.semana.com//deportes/articulo/asi-sera-el-itinerario-de-roger-federer-en-colombia/641099
Colombia tuvo su último examen antes de las eliminatorias para el Mundial de Catar 2022. El equipo dirigido por Carlos Queiroz venció a Ecuador con un marcador de 1 a 0 en encuentro disputado en el Red Bull Arena de New Jersey.,El equipo de Colombia fue el primer eliminado en la final de la Copa Davis,https://www.semana.com//deportes/articulo/colombia-gano-en-el-dia-que-le-quitaron-la-10-a-james/640967
"Falta un día para que el país salga a las calles y el paro nacional ya alcanzó un nivel de tensión sin precedentes en la historia reciente de Colombia. Tanta es la presión, que el Centro Cibernético de la Policía Nacional solicitó a Cerosetenta, a través de un correo dirigido a la Universidad de los Andes, que eliminara de su sitio web un manual de autoprotección contra el Esmad elaborado para los manifestantes. ",El paro eleva la tensión al máximo en la Casa de Nariño,https://www.semana.com//nacion/articulo/que-decia-el-manual-de-autoproteccion-contra-el-esmad-que-la-policia-pidio-despublicar/640989
"Los resultados de la quinta encuesta de la revista Nature a estudiantes de doctorado confirman lo que ya se sospechaba: sacar adelante un doctorado expone a las personas a altos niveles de presión, al punto de que podría desarrollar ansiedad, depresión o tendencias suicidas. Según el trabajo, que encuestó a 6.300 aspirantes de doctorado de todo el mundo, el 40 por ciento expresó frustraciones relacionadas con el equilibrio entre el trabajo y la vida, incidentes de acoso, hostigamiento, y una preocupación constante por encontrar un buen trabajo a futuro. ",Estudie una maestría o doctorado en Harvard Stanford o el MIT sin quedar empeñado,https://www.semana.com//vida-moderna/articulo/insatisfaccion-depresion-y-ansiedad-los-costos-invisibles-de-hacer-un-doctorado/640991
